nces_id_district,districtname,website_name,website_url,keywords
2508610,NEWTON,NEWTON SOUTH HIGH,https://www.newton.k12.ma.us/nshs,NEWTON SOUTH HIGH
2505280,Gloucester,GLOUCESTER HIGH,http://ghs.gloucester.schooldesk.net/,GLOUCESTER HIGH
600001,Acton-Agua Dulce Unified,ALBERT EINSTEIN ACADEMY ELEMENTARY,http://www.ealas.org/,ALBERT EINSTEIN ACADEMY ELEMENTARY
2503510,Chelmsford,CHELMSFORD HIGH,https://www.chelmsford.k12.ma.us/chs,CHELMSFORD HIGH
2506840,Lexington,LEXINGTON HIGH,https://lps.lexingtonma.org/lexingtonhs,LEXINGTON HIGH
2506930,Lincoln-Sudbury,LINCOLN-SUDBURY REGIONAL HIGH,https://www.lsrhs.net/,LINCOLN-SUDBURY REGIONAL HIGH
2509990,Reading,READING MEMORIAL HIGH,https://www.reading.k12.ma.us/memorial/,READING MEMORIAL HIGH
622710,LOS ANGELES UNIFIED,EASTMAN AVENUE ELEMENTARY,https://www.eastmanavenueelementary.com/,EASTMAN AVENUE ELEMENTARY
614370,Franklin-McKinley Elementary,"SHIRAKAWA (GEORGE, SR.) ELEMENTARY",http://shirakawa.fmsd.org/,"SHIRAKAWA (GEORGE, SR.) ELEMENTARY"
2503540,Chelsea,CHELSEA HIGH,https://www.chelseaschools.com/,CHELSEA HIGH
635130,San Ramon Valley Unified,MONTE VISTA HIGH,https://mvhs.scahoolloop.com/,MONTE VISTA HIGH
638010,Stockton Unified,STOCKTON COLLEGIATE INTERNATIONAL SECONDARY,http://www.stocktoncollegiate.org/,STOCKTON COLLEGIATE INTERNATIONAL SECONDARY
2507170,Malden,MALDEN HIGH,https://maldenps.org/high,MALDEN HIGH
2503870,Concord-Carlisle,CONCORD CARLISLE HIGH,http://www.concordcarlisle.org/,CONCORD CARLISLE HIGH
622710,LOS ANGELES UNIFIED,COLUMBUS AVENUE,,COLUMBUS AVENUE
635130,San Ramon Valley Unified,DOUGHERTY VALLEY HIGH,http://www.dvhigh.net/,DOUGHERTY VALLEY HIGH
602430,Alvord Unified,HILLCREST HIGH,https://www.alvordschools.org/Domain/27,HILLCREST HIGH
609620,Compton Unified,CENTENNIAL HIGH,https://cehs-compton-ca.schoolloop.com,CENTENNIAL HIGH
636940,Siskiyou Union High,MT. SHASTA HIGH,http://www.mountshastahighschool.com/,MT. SHASTA HIGH
638010,Stockton Unified,EDWARD C. MERLO INSTITUTE OF ENVIRONMENTAL STUDIES,https://www.stocktonusd.net/Merlo,EDWARD C. MERLO INSTITUTE OF ENVIRONMENTAL STUDIES